epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
25,1213.81,0.31966,0.35816,0.37561,0.00321,0.17439,0.96906,0.97779,0.99063,0.97506,0.96906,0.97779,0.99063,0.95128,0.22059,0.1852,0.14965,0.00318,0,0.000448291,0.000448291,0.000448291
26,1257.66,0.31615,0.34756,0.35468,0.00308,0.17391,0.97133,0.97296,0.99074,0.97853,0.97133,0.97296,0.99074,0.96324,0.19075,0.18184,0.11636,0.00276,0,0.00044247,0.00044247,0.00044247
27,1302.89,0.31296,0.35604,0.34658,0.00308,0.17104,0.97357,0.97211,0.99224,0.97963,0.97357,0.97211,0.99224,0.96236,0.17703,0.18421,0.11708,0.00272,0,0.000436649,0.000436649,0.000436649
28,1346.12,0.29964,0.33415,0.33704,0.00285,0.17121,0.97786,0.96972,0.99246,0.97878,0.97786,0.96972,0.99246,0.95816,0.16714,0.18689,0.12425,0.00276,0,0.000430828,0.000430828,0.000430828
29,1389.26,0.30718,0.33865,0.33276,0.00309,0.16567,0.97572,0.97735,0.99295,0.97964,0.97572,0.97735,0.99295,0.95788,0.19058,0.1791,0.12288,0.00285,0,0.000425006,0.000425006,0.000425006
30,1432.71,0.30221,0.33836,0.3054,0.00315,0.16106,0.97351,0.97704,0.99201,0.98501,0.97351,0.97704,0.99201,0.96594,0.17212,0.18784,0.1158,0.00221,0,0.000419185,0.000419185,0.000419185
31,1476.16,0.29306,0.3156,0.2946,0.00289,0.14782,0.97699,0.98244,0.99194,0.97961,0.97699,0.98244,0.99194,0.9705,0.21212,0.18237,0.1216,0.00299,0,0.000413364,0.000413364,0.000413364
32,1519.67,0.30542,0.32523,0.3004,0.00297,0.14853,0.97627,0.98232,0.99407,0.98146,0.97627,0.98232,0.99407,0.95809,0.19208,0.18652,0.11105,0.00298,0,0.000407543,0.000407543,0.000407543
33,1567.55,0.29376,0.3308,0.2935,0.00285,0.1587,0.97431,0.98468,0.99393,0.97797,0.97431,0.98468,0.99393,0.95512,0.21218,0.19765,0.11698,0.00325,0,0.000401722,0.000401722,0.000401722
34,1611.97,0.2968,0.31982,0.2865,0.0029,0.14542,0.98368,0.98056,0.99378,0.97995,0.98368,0.98056,0.99378,0.96014,0.21431,0.17951,0.11358,0.00325,0,0.0003959,0.0003959,0.0003959
35,1655.74,0.29183,0.33211,0.27868,0.00281,0.15187,0.98543,0.98424,0.99453,0.97417,0.98543,0.98424,0.99453,0.95258,0.20948,0.17589,0.10613,0.00374,0,0.000390079,0.000390079,0.000390079
36,1700.16,0.297,0.30583,0.27625,0.00282,0.14177,0.96837,0.9856,0.99148,0.98254,0.96837,0.9856,0.99148,0.96848,0.16795,0.17483,0.10561,0.0025,0,0.000384258,0.000384258,0.000384258
37,1742.6,0.28929,0.317,0.27334,0.00282,0.13954,0.9815,0.98929,0.99421,0.97361,0.9815,0.98929,0.99421,0.9519,0.21279,0.18059,0.10358,0.00372,0,0.000378437,0.000378437,0.000378437
38,1785.23,0.27613,0.31525,0.26378,0.00271,0.1421,0.98082,0.98488,0.99373,0.97626,0.98082,0.98488,0.99373,0.96103,0.17682,0.17564,0.10363,0.0032,0,0.000372616,0.000372616,0.000372616
39,1828.13,0.28642,0.32146,0.27887,0.00268,0.15398,0.98117,0.99159,0.99464,0.98987,0.98117,0.99159,0.99464,0.96667,0.15213,0.17949,0.08906,0.00191,0,0.000366794,0.000366794,0.000366794
40,1871.64,0.28641,0.32833,0.2812,0.00275,0.15251,0.98941,0.983,0.99417,0.98537,0.98941,0.983,0.99417,0.96909,0.1594,0.1704,0.09288,0.00233,0,0.000360973,0.000360973,0.000360973
41,1915.65,0.27715,0.31689,0.2543,0.00259,0.12846,0.98792,0.98339,0.99415,0.98798,0.98792,0.98339,0.99415,0.97369,0.1359,0.17588,0.08634,0.0019,0,0.000355152,0.000355152,0.000355152
42,1959.35,0.27371,0.32689,0.25184,0.00255,0.1297,0.98463,0.97545,0.99263,0.97875,0.98463,0.97545,0.99263,0.95679,0.17056,0.19045,0.09768,0.00286,0,0.000349331,0.000349331,0.000349331
43,2005.09,0.27718,0.30864,0.25218,0.00272,0.13627,0.98605,0.9842,0.9945,0.98815,0.98605,0.9842,0.9945,0.9678,0.15651,0.22337,0.09258,0.00204,0,0.00034351,0.00034351,0.00034351
44,2049.12,0.27083,0.30945,0.23875,0.00265,0.12566,0.9814,0.98794,0.99457,0.97824,0.9814,0.98794,0.99457,0.9605,0.16434,0.16775,0.09052,0.00298,0,0.000337688,0.000337688,0.000337688
45,2092.72,0.2855,0.32904,0.24852,0.0027,0.1339,0.98747,0.98944,0.99478,0.9813,0.98747,0.98944,0.99478,0.95898,0.21075,0.17996,0.10186,0.0032,0,0.000331867,0.000331867,0.000331867
46,2135.61,0.27405,0.31191,0.23795,0.00263,0.12765,0.98805,0.98392,0.99393,0.98042,0.98805,0.98392,0.99393,0.96423,0.17799,0.17394,0.09286,0.0029,0,0.000326046,0.000326046,0.000326046
47,2178.25,0.27072,0.30569,0.23731,0.00246,0.12111,0.99092,0.99008,0.99461,0.98087,0.99092,0.99008,0.99461,0.96746,0.15679,0.16912,0.08269,0.00275,0,0.000320225,0.000320225,0.000320225
48,2221.14,0.269,0.30704,0.22893,0.00263,0.11637,0.98421,0.99277,0.99454,0.98292,0.98421,0.99277,0.99454,0.96622,0.17203,0.17001,0.08579,0.00273,0,0.000314404,0.000314404,0.000314404
49,2263.59,0.26368,0.29665,0.21297,0.00251,0.10549,0.98728,0.98544,0.99436,0.98316,0.98728,0.98544,0.99436,0.96175,0.15971,0.17728,0.08558,0.00255,0,0.000308582,0.000308582,0.000308582
50,2306.94,0.25979,0.29595,0.22063,0.00247,0.12889,0.98523,0.98681,0.99464,0.98333,0.98523,0.98681,0.99464,0.97136,0.17586,0.17041,0.0938,0.00269,0,0.000302761,0.000302761,0.000302761
51,2353.3,0.26042,0.30606,0.23373,0.00239,0.1324,0.98671,0.99162,0.99466,0.98762,0.98671,0.99162,0.99466,0.97064,0.15981,0.16956,0.08167,0.00211,0,0.00029694,0.00029694,0.00029694
52,2398.37,0.26785,0.29399,0.2275,0.00249,0.11545,0.99108,0.99074,0.99477,0.98782,0.99108,0.99074,0.99477,0.97303,0.13858,0.16694,0.0725,0.00194,0,0.000291119,0.000291119,0.000291119
53,2441.25,0.27333,0.30841,0.22988,0.00255,0.1213,0.98301,0.99305,0.99455,0.9864,0.98301,0.99305,0.99455,0.96897,0.13541,0.16987,0.07506,0.00203,0,0.000285298,0.000285298,0.000285298
54,2485.58,0.26589,0.29586,0.21453,0.00238,0.11522,0.9956,0.98647,0.99469,0.98451,0.9956,0.98647,0.99469,0.96238,0.1617,0.16919,0.08204,0.00253,0,0.000279476,0.000279476,0.000279476
55,2529.18,0.25265,0.2933,0.20943,0.00232,0.11349,0.9809,0.98964,0.99452,0.98681,0.9809,0.98964,0.99452,0.97097,0.1367,0.16804,0.08605,0.00199,0,0.000273655,0.000273655,0.000273655
56,2572.53,0.26891,0.30735,0.22095,0.00265,0.11098,0.99273,0.98938,0.9946,0.98624,0.99273,0.98938,0.9946,0.97036,0.14497,0.16653,0.07502,0.00215,0,0.000267834,0.000267834,0.000267834
57,2616.24,0.25066,0.29378,0.20454,0.00237,0.11039,0.99397,0.98614,0.99412,0.98779,0.99397,0.98614,0.99412,0.96569,0.15569,0.17558,0.08017,0.00205,0,0.000262013,0.000262013,0.000262013
58,2659.23,0.25848,0.29557,0.20594,0.00236,0.10872,0.98641,0.98891,0.99382,0.97802,0.98641,0.98891,0.99382,0.95833,0.18589,0.16704,0.09331,0.00316,0,0.000256192,0.000256192,0.000256192
59,2703.46,0.26353,0.30439,0.2188,0.00236,0.11318,0.99186,0.98768,0.99455,0.97962,0.99186,0.98768,0.99455,0.96339,0.15865,0.17265,0.08223,0.00282,0,0.00025037,0.00025037,0.00025037
60,2747.69,0.2559,0.31935,0.20441,0.00241,0.10731,0.98277,0.99027,0.99406,0.98726,0.98277,0.99027,0.99406,0.97232,0.13582,0.16339,0.07827,0.00194,0,0.000244549,0.000244549,0.000244549
61,2791.19,0.25988,0.30115,0.21334,0.0024,0.11363,0.9918,0.98486,0.99465,0.98424,0.9918,0.98486,0.99465,0.96667,0.1531,0.17845,0.08259,0.00241,0,0.000238728,0.000238728,0.000238728
